Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
ColoRect-AdenoCA::SP16886	8.80E+03	1.11E+02	4.78E+03	9.15E+03	3.68E+02	1.76E+02	4.73E+02	3.36E+02	7.46E+02	4.90E+01	8.21E+01	1.94E+01
ColoRect-AdenoCA::SP19295	4.26E+03	1.09E+02	3.01E+03	4.14E+03	6.13E+01	0.00E+00	4.80E+00	2.86E+01	2.98E+02	6.19E+01	9.28E+01	6.57E+00
ColoRect-AdenoCA::SP17905	1.48E+04	7.08E+02	9.06E+03	1.28E+04	1.14E+03	1.18E+03	2.92E+03	2.17E+03	1.65E+03	1.38E+03	1.12E+03	0.00E+00
ColoRect-AdenoCA::SP18121	5.64E+01	7.19E+01	1.52E+03	2.11E+03	1.30E+02	2.08E+02	9.17E+02	4.67E+01	1.51E+03	1.94E+02	3.83E+02	1.28E+01
ColoRect-AdenoCA::SP21400	1.86E+04	9.94E+02	1.52E+04	1.95E+04	0.00E+00	4.61E+02	1.36E+03	3.01E+02	2.01E+03	1.63E+01	4.45E+02	1.15E+01
ColoRect-AdenoCA::SP18946	1.23E+04	2.65E+02	8.77E+03	9.75E+03	1.69E+02	4.83E+02	6.81E+02	2.59E+02	2.06E+03	0.00E+00	5.96E+02	1.22E+01
ColoRect-AdenoCA::SP80615	2.20E+04	3.39E+02	1.29E+04	2.00E+04	8.10E+02	7.73E+02	1.89E+03	1.77E+03	2.24E+02	7.02E+02	1.04E+03	3.31E+01
Eso-AdenoCA::SP111058	2.29E+01	4.80E+00	4.00E+01	1.64E+02	2.40E+01	9.40E+00	5.07E+01	1.30E+02	3.61E+01	5.96E+01	2.86E+01	1.25E+01
Eso-AdenoCA::SP111066	2.71E+01	2.87E+01	6.23E+01	1.61E+02	2.86E+01	3.56E+01	6.88E+01	1.27E+02	2.58E+01	8.00E+01	3.56E+01	2.66E+01
Eso-AdenoCA::SP111113	3.01E+01	1.95E+01	1.24E+02	2.43E+02	3.34E+01	3.22E+01	5.99E+01	1.91E+02	4.18E+01	7.97E+01	4.74E+01	1.35E+01
Eso-AdenoCA::SP110865	2.26E+01	3.62E+01	2.05E+02	1.87E+02	6.08E+01	2.86E+01	4.33E+01	1.22E+02	2.96E+01	1.27E+02	3.71E+01	3.15E+01
Eso-AdenoCA::SP23502	2.57E+01	4.50E+01	8.77E+01	1.93E+02	2.92E+01	5.75E+01	3.87E+01	1.46E+02	5.86E+01	5.94E+01	1.56E+01	4.06E+01
Eso-AdenoCA::SP111001	3.93E+01	3.80E+01	7.02E+01	1.40E+02	4.86E+01	7.58E+01	5.96E+00	1.04E+02	5.80E+01	5.21E+01	1.76E+01	4.35E+01
Eso-AdenoCA::SP111173	4.51E+01	4.10E+01	2.91E+02	4.23E+02	0.00E+00	8.43E+01	1.04E+02	3.13E+02	7.52E+01	1.28E+02	3.29E+01	2.76E+01
Eso-AdenoCA::SP111091	1.62E+01	4.18E+01	2.56E+01	1.10E+02	3.16E+01	8.76E+01	4.24E+01	7.77E+01	3.51E+01	5.69E+01	2.29E+01	4.69E+01
Eso-AdenoCA::SP111175	5.23E+01	2.44E+01	4.34E+02	4.88E+02	7.61E+01	3.34E+01	7.73E+01	4.27E+02	7.20E+01	1.44E+02	0.00E+00	3.02E+01
Eso-AdenoCA::SP111114	4.67E+01	2.41E+01	7.53E+01	1.54E+02	4.58E+01	4.03E+01	2.62E+01	1.08E+02	8.15E+01	5.30E+01	1.41E+01	1.84E+01
Head-SCC::SP30113	1.13E+01	3.01E+01	6.94E+01	2.59E+01	4.37E+02	6.80E+01	7.87E+01	1.70E+01	6.96E+01	4.31E+02	8.34E+01	3.75E+01
Head-SCC::SP30332	1.75E+01	2.81E+01	3.58E+01	7.83E+00	2.48E+02	5.90E+01	4.67E+01	8.87E+00	3.97E+01	2.50E+02	5.18E+01	2.81E+01
Head-SCC::SP30675	1.41E+01	2.96E+01	4.27E+01	7.07E+00	3.14E+02	5.99E+01	4.77E+01	8.59E+00	5.17E+01	3.25E+02	5.64E+01	2.63E+01
Liver-HCC::SP98090	5.88E+01	7.00E+01	3.30E+02	1.64E+02	3.56E+01	7.97E+01	3.44E+02	2.05E+01	2.97E+01	2.32E+02	6.37E+01	3.43E+01
Lung-AdenoCA::SP53460	1.46E+01	2.92E+01	2.27E+01	1.01E+02	2.50E+02	7.77E+01	2.96E+01	5.95E+00	2.82E+01	2.83E+02	4.54E+01	3.60E+01
Lung-AdenoCA::SP54113	3.26E+00	7.42E+01	3.91E+01	6.81E+01	5.05E+02	1.19E+02	5.60E+01	1.26E+01	4.51E+01	5.69E+02	7.34E+01	7.02E+01
Lung-AdenoCA::SP55235	1.83E+01	7.96E+01	3.25E+01	1.06E+02	5.21E+02	1.59E+02	5.58E+01	1.80E+01	4.66E+01	5.86E+02	6.86E+01	9.24E+01
Lung-AdenoCA::SP50611	8.32E+00	2.73E+01	3.81E+01	1.10E+02	2.46E+02	6.64E+01	1.96E+01	4.44E+00	4.73E+01	3.04E+02	4.78E+01	2.49E+01
Lung-AdenoCA::SP55142	4.41E+01	6.08E+01	1.96E+02	1.81E+02	6.07E+02	7.62E+01	8.78E+01	2.61E+01	4.82E+01	6.34E+02	8.90E+01	7.34E+01
Lung-AdenoCA::SP53618	1.24E+01	2.69E+01	8.01E+00	9.80E+01	2.87E+02	1.00E+02	2.08E+01	5.28E+00	2.50E+01	3.59E+02	5.01E+01	3.62E+01
Lung-AdenoCA::SP53810	3.05E+01	7.06E+01	2.92E+01	3.39E+02	9.24E+02	3.34E+02	0.00E+00	6.60E-01	3.60E+01	1.22E+03	1.94E+02	8.77E+01
Lung-AdenoCA::SP55509	1.59E+01	3.18E+01	2.18E+01	1.15E+02	3.13E+02	9.38E+01	2.75E+01	5.37E+00	3.39E+01	3.85E+02	5.93E+01	3.51E+01
Lung-SCC::SP56553	2.49E+01	0.00E+00	3.78E+02	6.08E+01	3.39E+02	6.69E+01	9.99E+01	2.50E+01	7.42E+01	2.92E+02	1.14E+02	1.39E+02
Lung-SCC::SP57941	1.62E+01	2.80E+01	2.39E+01	8.62E+01	3.69E+02	9.46E+01	2.97E+01	8.68E+00	2.43E+01	4.29E+02	5.19E+01	3.72E+01
Lung-SCC::SP57818	1.62E+01	2.54E+01	4.31E+01	1.12E+02	2.12E+02	5.98E+01	1.82E+01	4.03E+00	4.52E+01	2.61E+02	4.27E+01	2.39E+01
Lung-SCC::SP56704	2.55E+00	2.39E+01	2.73E+01	7.20E-01	2.61E+02	6.44E+01	4.59E+01	7.09E+00	4.51E+01	2.69E+02	4.31E+01	2.50E+01
Lung-SCC::SP59245	1.20E+01	6.46E+01	4.69E+01	3.61E+01	1.93E+02	3.52E+01	3.37E+01	1.87E+01	2.58E+01	1.78E+02	3.75E+01	6.11E+01
Lung-SCC::SP57933	2.11E+01	1.14E+01	6.25E+01	7.77E+01	2.22E+02	8.48E-01	5.57E+01	1.51E+01	3.09E+01	2.05E+02	3.33E+01	2.39E+01
Lung-SCC::SP57669	1.56E+01	2.25E+01	4.65E+01	4.16E+01	2.28E+02	2.83E+01	4.52E+01	1.41E+01	3.39E+01	2.12E+02	4.11E+01	2.84E+01
Lung-SCC::SP58342	1.78E+01	4.79E+01	1.58E+02	1.36E+01	3.24E+02	4.38E+01	8.61E+01	7.35E+00	8.57E+01	3.44E+02	6.94E+01	3.01E+01
Lung-SCC::SP57619	1.66E+01	1.67E+01	3.15E+01	7.02E+01	2.50E+02	4.57E+01	3.43E+01	7.19E+00	2.02E+01	2.72E+02	3.54E+01	1.94E+01
Lung-SCC::SP58245	2.44E+01	7.32E+00	7.78E+01	2.37E+01	2.67E+02	3.50E+01	6.29E+01	8.10E+00	5.05E+01	2.66E+02	5.36E+01	1.95E+01
Lung-SCC::SP57251	1.56E+01	4.58E+01	4.32E+01	3.17E+01	2.02E+02	4.82E+01	5.25E+01	1.08E+01	3.49E+01	1.90E+02	4.65E+01	4.48E+01
Lung-SCC::SP58668	1.88E+01	2.17E+01	5.51E+01	3.00E+01	2.92E+02	4.73E+01	6.71E+01	1.32E+01	4.98E+01	2.58E+02	6.37E+01	2.50E+01
Lung-SCC::SP58326	2.03E+01	2.66E+01	4.23E+01	1.90E+01	3.65E+02	7.34E+01	5.27E+01	9.02E+00	5.24E+01	3.83E+02	5.86E+01	2.70E+01
Lung-SCC::SP57267	1.61E+01	2.48E+01	3.50E+01	3.38E+01	2.28E+02	5.87E+01	4.26E+01	8.89E+00	2.62E+01	2.34E+02	3.64E+01	1.89E+01
Lung-SCC::SP57066	1.46E+01	3.18E+01	3.04E+01	3.88E+01	2.83E+02	5.58E+01	4.28E+01	6.30E+00	2.06E+01	2.98E+02	3.85E+01	2.82E+01
Lung-SCC::SP57846	1.35E+01	7.23E+01	4.12E+01	3.28E+01	1.84E+02	2.99E+01	3.29E+01	5.33E+00	4.15E+01	1.84E+02	3.76E+01	7.52E+01
Lung-SCC::SP57189	2.05E+01	4.51E+01	7.15E+01	3.88E+01	5.76E+02	7.45E+01	7.14E+01	1.10E+01	8.31E+01	6.18E+02	8.57E+01	4.47E+01
Lymph-BNHL::SP116668	3.48E+01	3.40E+01	3.71E+02	3.91E+02	2.70E+01	5.32E+01	9.58E+01	2.81E+02	7.78E+01	1.71E+02	4.13E+01	1.43E+01
Lymph-BNHL::SP116697	1.40E+02	1.60E+02	1.50E+03	1.19E+03	3.16E+01	1.21E+02	3.54E+02	6.11E+02	5.61E+02	8.11E+02	1.31E+02	9.25E+01
Panc-AdenoCA::SP125732	7.55E+01	3.79E+01	2.50E+02	4.61E+02	3.49E+01	8.15E+01	3.22E+02	2.63E+01	2.99E+02	0.00E+00	0.00E+00	8.71E+00
Panc-AdenoCA::SP125770	3.73E+01	0.00E+00	8.31E+01	3.90E+02	1.02E+02	7.60E+01	1.81E+02	2.00E+01	2.27E+02	9.92E+01	2.87E+01	1.04E+01
Skin-Melanoma::SP124389	9.20E+00	1.02E+03	1.29E+03	3.28E+01	1.18E+01	2.93E+02	1.48E+01	6.92E+00	1.19E+01	2.45E+01	2.09E+01	6.40E+00
