Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
Skin-Melanoma::SP82900	6.58E+02	2.30E+01	2.11E+01	3.56E+01	3.63E+01	2.18E+01	6.80E+02	2.43E+01
Skin-Melanoma::SP82399	2.67E+02	1.25E+01	1.02E+01	3.32E+01	3.67E+01	1.14E+01	2.75E+02	1.17E+01
Skin-Melanoma::SP82417	6.12E+02	2.19E+01	2.55E+01	8.39E+00	4.10E+01	1.68E+01	6.55E+02	1.52E+01
Skin-Melanoma::SP104056	6.32E+02	3.02E+01	2.26E+01	1.55E+02	4.29E+02	2.63E+01	1.04E+03	2.81E+01
Skin-Melanoma::SP83083	1.80E+02	8.36E+00	1.16E+01	2.98E+01	3.54E+01	6.64E+00	1.80E+02	8.15E+00
Skin-Melanoma::SP83019	2.47E+02	9.29E+00	9.98E+00	1.48E+01	1.68E+01	7.38E+00	2.49E+02	9.09E+00
Skin-Melanoma::SP83146	7.73E+02	3.22E+01	4.35E+01	2.48E+01	3.93E+01	2.66E+01	8.27E+02	2.51E+01
Skin-Melanoma::SP103866	1.96E+02	9.31E+00	1.73E+01	2.60E+01	3.83E+01	9.22E+00	2.30E+02	1.15E+01
Skin-Melanoma::SP83844	1.29E+02	6.41E+00	7.70E+00	2.37E+01	2.76E+01	6.34E+00	1.28E+02	7.29E+00
Stomach-AdenoCA::SP135287	4.46E+01	3.61E+01	3.48E+02	4.15E+01	3.52E+02	1.45E+01	7.98E+01	4.73E+00
Stomach-AdenoCA::SP85122	7.94E+01	4.52E+01	4.50E+02	6.49E+01	4.66E+02	1.59E+01	7.72E+01	5.82E+00
Stomach-AdenoCA::SP84384	8.69E+01	4.33E+01	6.14E+02	1.74E+01	5.95E+02	2.45E+01	1.27E+02	8.24E+00
Stomach-AdenoCA::SP84491	2.11E+01	1.35E+01	2.68E+01	5.02E+01	6.63E+01	1.43E+02	2.45E+02	1.19E+01
Stomach-AdenoCA::SP84743	2.24E+01	1.12E+01	2.36E+01	1.16E+02	1.50E+02	1.46E+02	4.29E+02	1.54E+01
Stomach-AdenoCA::SP84982	2.10E+01	1.86E+01	2.54E+02	4.62E+01	2.53E+02	3.09E+01	6.61E+01	8.44E+00
Stomach-AdenoCA::SP84392	4.23E+01	4.74E+01	4.63E+02	5.17E+01	4.50E+02	2.61E+01	1.28E+02	6.81E+00
Stomach-AdenoCA::SP105018	1.75E+01	1.93E+01	3.59E+01	5.50E+02	4.08E+02	5.74E+01	9.91E+02	2.82E+01
Stomach-AdenoCA::SP84439	3.70E+02	1.49E+02	1.13E+03	4.81E+02	5.49E+02	1.13E+02	9.88E+02	4.50E+01
Stomach-AdenoCA::SP84922	2.05E+01	1.51E+01	2.95E+01	2.13E+01	2.53E+01	1.22E+02	1.47E+02	1.23E+01
Uterus-AdenoCA::SP90209	7.01E+02	2.48E+02	2.76E+03	1.02E+01	1.87E+03	0.00E+00	4.50E+03	7.26E+00
Uterus-AdenoCA::SP93540	3.42E+01	2.87E+01	2.63E+02	3.28E+01	2.99E+02	1.15E+01	1.41E+02	7.43E+00
Uterus-AdenoCA::SP93227	6.37E+02	3.50E+02	3.41E+03	8.56E+02	4.34E+03	7.68E+01	5.22E+03	0.00E+00
Uterus-AdenoCA::SP94933	3.95E+01	2.51E+01	2.36E+02	1.80E+02	2.62E+02	2.92E+01	5.63E+02	1.05E+01
Uterus-AdenoCA::SP92364	3.87E+01	4.16E+01	6.49E+02	1.52E+02	3.14E+02	4.85E+01	6.03E+02	8.45E+00
Uterus-AdenoCA::SP92659	0.00E+00	4.64E+01	4.92E+01	4.40E+01	0.00E+00	1.44E+01	2.25E+01	5.43E+00
