Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
Lung-AdenoCA::SP53460	5.64E+01	2.37E+01	2.15E+01	1.25E+02	6.04E+00	1.26E+02
Lung-AdenoCA::SP54113	1.39E+02	4.77E+01	1.02E+02	1.88E+02	2.01E+01	2.76E+02
Lung-AdenoCA::SP55235	8.74E+01	5.25E+01	6.59E+01	2.63E+02	1.56E+01	3.00E+02
Lung-AdenoCA::SP50611	6.85E+01	2.37E+01	2.71E+01	1.28E+02	6.45E+00	1.26E+02
Lung-AdenoCA::SP55142	2.89E+02	5.38E+01	1.45E+02	3.48E+02	2.56E+01	5.38E+02
Lung-AdenoCA::SP53618	6.62E+01	2.89E+01	2.57E+01	1.69E+02	7.72E+00	1.66E+02
Lung-AdenoCA::SP53810	1.75E+02	7.29E+01	5.88E+01	4.60E+02	1.97E+01	4.15E+02
Lung-AdenoCA::SP55509	7.54E+01	3.28E+01	2.23E+01	1.37E+02	8.41E+00	1.49E+02
Lung-SCC::SP56553	6.30E+02	2.77E+01	1.72E+02	1.66E+03	2.32E+01	2.04E+03
Lung-SCC::SP57941	8.69E+01	3.30E+01	3.65E+01	2.33E+02	1.06E+01	2.42E+02
Lung-SCC::SP57818	6.57E+01	2.30E+01	1.96E+01	5.78E+01	5.75E+00	1.22E+02
Lung-SCC::SP56704	6.15E+01	2.51E+01	8.18E+01	2.43E+02	1.66E+01	3.12E+02
Lung-SCC::SP59245	1.51E+02	1.62E+01	7.53E+01	2.02E+02	1.44E+01	2.70E+02
Lung-SCC::SP57933	8.91E+01	2.26E+01	8.63E+01	1.02E+02	1.36E+01	1.69E+02
Lung-SCC::SP57669	5.46E+01	2.26E+01	1.06E+02	2.30E+02	2.24E+01	3.19E+02
Lung-SCC::SP58342	1.06E+02	2.45E+01	2.54E+02	1.13E+02	2.22E+01	2.68E+02
Lung-SCC::SP57619	6.41E+01	2.58E+01	6.15E+01	1.91E+02	1.24E+01	2.36E+02
Lung-SCC::SP58245	7.26E+01	2.64E+01	1.47E+02	2.36E+02	2.32E+01	3.56E+02
Lung-SCC::SP57251	8.89E+01	2.09E+01	1.35E+02	8.92E+01	2.23E+01	1.57E+02
Lung-SCC::SP58668	7.94E+01	3.10E+01	1.23E+02	2.09E+02	2.47E+01	2.97E+02
Lung-SCC::SP58326	8.52E+01	3.47E+01	9.72E+01	3.07E+02	1.98E+01	3.83E+02
Lung-SCC::SP57267	5.58E+01	2.57E+01	1.02E+02	1.92E+02	1.71E+01	2.77E+02
Lung-SCC::SP57066	6.13E+01	2.69E+01	6.70E+01	1.48E+02	1.23E+01	1.99E+02
Lung-SCC::SP57846	2.12E+02	1.37E+01	8.11E+01	3.26E+02	8.06E+00	4.30E+02
Lung-SCC::SP57189	1.34E+02	5.25E+01	1.02E+02	2.66E+02	2.19E+01	3.39E+02
Lymph-BNHL::SP116668	2.08E+01	2.95E+01	1.52E+02	5.48E+01	1.02E+02	2.36E+02
Lymph-BNHL::SP116697	1.57E+02	3.33E+01	5.93E+02	1.80E+02	1.19E+02	4.46E+02
Panc-AdenoCA::SP125732	5.22E+01	5.36E+01	1.05E+03	2.85E+01	5.94E+01	1.21E+03
Panc-AdenoCA::SP125770	1.86E+01	3.47E+01	9.97E+02	1.44E+02	1.44E+02	1.23E+03
