Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
Skin-Melanoma::SP124406	1.80E+01	5.67E+00	1.45E+01	1.79E+01	1.45E+01	1.03E+01	9.28E+00
Skin-Melanoma::SP124382	7.38E+01	2.08E+01	3.07E+01	5.45E+01	6.95E+01	2.21E+01	4.91E+01
Skin-Melanoma::SP124415	1.34E+02	4.14E+01	5.75E+01	1.02E+02	9.34E+01	2.85E+01	1.38E+02
Skin-Melanoma::SP124436	5.61E+01	1.79E+01	2.58E+00	5.23E+01	5.68E+01	1.69E+01	3.21E+01
Skin-Melanoma::SP124460	2.88E+01	8.64E+00	1.55E+01	1.82E+01	1.85E+01	9.73E+00	1.98E+01
Skin-Melanoma::SP124425	2.39E+01	6.36E+00	9.73E+00	1.49E+01	1.65E+01	9.37E+00	1.41E+01
Skin-Melanoma::SP124367	3.33E+01	8.37E+00	1.67E+01	1.72E+01	1.99E+01	1.84E+01	1.68E+01
Skin-Melanoma::SP124377	1.87E+01	6.32E+00	7.14E+00	1.12E+01	1.43E+01	8.16E+00	8.07E+00
Skin-Melanoma::SP124412	1.67E+01	5.88E+00	1.30E+01	1.88E+01	1.75E+01	4.22E+00	6.74E+00
Skin-Melanoma::SP124329	1.26E+01	4.15E+00	6.13E+00	7.72E+00	1.12E+01	4.30E+00	7.48E+00
Skin-Melanoma::SP124326	1.53E+01	4.68E+00	9.47E+00	1.41E+01	1.28E+01	4.02E+00	1.11E+01
Skin-Melanoma::SP124458	3.03E+01	1.01E+01	1.52E+01	1.97E+01	2.26E+01	7.44E+00	1.90E+01
Skin-Melanoma::SP124401	6.44E+01	1.82E+01	3.83E+01	4.05E+01	5.34E+01	1.47E+01	5.54E+01
Skin-Melanoma::SP124384	4.26E+01	9.70E+00	5.21E+01	2.23E+01	5.85E+01	1.36E+01	1.60E+01
Skin-Melanoma::SP124462	1.98E+01	7.77E+00	1.00E+01	1.35E+01	1.62E+01	7.80E+00	1.41E+01
Skin-Melanoma::SP124452	1.68E+01	5.39E+00	9.45E+00	1.43E+01	1.25E+01	5.08E+00	1.22E+01
Skin-Melanoma::SP124386	2.25E+01	6.41E+00	1.53E+01	1.62E+01	1.33E+01	4.36E+00	1.39E+01
Skin-Melanoma::SP124418	2.25E+01	7.14E+00	8.55E+00	2.04E+01	1.95E+01	7.08E+00	1.12E+01
Skin-Melanoma::SP124319	3.39E+01	9.46E+00	2.14E+01	1.23E+01	4.13E+01	6.30E+00	2.39E+01
Skin-Melanoma::SP124447	6.55E+01	2.17E+01	3.33E+01	4.67E+01	5.24E+01	1.62E+01	5.42E+01
Skin-Melanoma::SP124369	1.97E+01	7.45E+00	1.37E+01	1.74E+01	1.76E+01	5.65E+00	1.58E+01
Skin-Melanoma::SP124365	1.66E+01	6.12E+00	1.18E+01	1.66E+01	1.71E+01	7.77E+00	7.93E+00
Skin-Melanoma::SP124420	1.76E+01	4.50E+00	7.52E+00	8.61E+00	1.24E+01	2.76E+00	1.07E+01
Skin-Melanoma::SP124364	2.21E+01	8.54E+00	1.14E+01	1.88E+01	1.78E+01	5.37E+00	1.32E+01
Skin-Melanoma::SP124307	2.03E+01	6.07E+00	1.22E+01	1.18E+01	1.75E+01	4.53E+00	1.19E+01
Skin-Melanoma::SP82445	1.17E+02	3.03E+01	7.51E+01	7.23E+01	1.19E+02	3.22E+01	1.04E+02
Skin-Melanoma::SP83242	1.68E+01	4.95E+00	1.36E+01	2.61E+01	2.35E+01	5.53E+00	9.45E+00
Skin-Melanoma::SP103894	2.76E+01	1.05E+01	1.62E+01	2.02E+01	2.59E+01	1.14E+01	2.09E+01
Skin-Melanoma::SP83382	1.36E+01	4.32E+00	9.05E+00	1.02E+01	1.11E+01	3.40E+00	6.77E+00
Skin-Melanoma::SP82451	1.56E+01	6.26E+00	1.18E+01	1.41E+01	1.75E+01	5.12E+00	7.63E+00
Skin-Melanoma::SP83312	1.60E+01	5.31E+00	7.42E+00	1.11E+01	1.15E+01	6.77E+00	8.62E+00
